State/UT,Year,Mode,Total
Chandigarh,2002,Truck/Lorry,0
Chandigarh,2002,Two Wheeler,26
Chandigarh,2003,Bicycle,26
Chandigarh,2003,Bus,1
Chandigarh,2003,Car,4
Chandigarh,2003,Jeep,0
Chandigarh,2003,Other Motor Vehicles,0
Chandigarh,2003,Others,12
Chandigarh,2003,Pedestrian,32
Chandigarh,2003,Three Wheeler,4
Chandigarh,2003,Truck/Lorry,0
Chandigarh,2003,Two Wheeler,55
Chandigarh,2004,Bicycle,2
Chandigarh,2004,Bus,1
Chandigarh,2004,Car,1
Chandigarh,2004,Jeep,0
Chandigarh,2004,Other Motor Vehicles,0
Chandigarh,2004,Others,31
Chandigarh,2004,Pedestrian,24
